child_id,name,min,s,time,zem,cat,brush,tima,gimo,ball,manu,car,utterance
XS_0814,car,9,59,599,NA,NA,NA,NA,NA,NA,NA,1,you don't want the car hm?
XS_0814,car,10,21,621,NA,NA,NA,NA,NA,NA,NA,1,you were chewing on the wheels of the car.
XS_0814,manu,10,22,622,NA,NA,NA,NA,NA,NA,NA,NA,but that manu handle I mean oh my gosh it's got so many good surfaces for those little teeth to.
XS_0814,manu,10,42,642,NA,NA,NA,NA,NA,NA,NA,1,you got your manu.
XS_0814,manu,10,44,644,NA,NA,NA,NA,NA,NA,NA,1,you got your manu.
XS_0814,manu,10,46,646,NA,NA,NA,NA,NA,NA,NA,3,manumanumanu.
XS_0814,car,11,19,679,NA,NA,NA,NA,NA,NA,NA,NA,you done with car and manu?
XS_0814,manu,11,19,679,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0814,manu,11,23,683,NA,NA,NA,NA,NA,NA,NA,NA,manu.
XS_0814,manu,11,26,686,NA,NA,NA,NA,NA,NA,NA,NA,all about the manu.
XS_0814,manu,11,34,694,NA,NA,NA,NA,NA,NA,NA,NA,do we have to go get you a manu now?
XS_0814,manu,11,42,702,NA,NA,NA,NA,NA,NA,NA,NA,because I don't want to give you a manu with blades.
XS_0814,manu,11,51,711,NA,NA,NA,NA,NA,NA,NA,NA,you are totally getting a manu and be mommy's little kitchen helper.
XS_0814,manu,13,26,806,NA,NA,NA,NA,NA,NA,NA,NA,what a cool manu.
XS_0814,car,13,46,826,NA,NA,NA,NA,NA,NA,NA,NA,where's the car?
XS_0814,car,13,49,829,NA,NA,NA,NA,NA,NA,NA,NA,not interested in the car?
XS_0814,manu,14,14,854,NA,NA,NA,NA,NA,NA,NA,NA,can you say byebye to the manu?
XS_0814,manu,14,18,858,NA,NA,NA,NA,NA,NA,NA,NA,I love my manu.
XS_0814,tima,14,42,882,NA,NA,NA,1,NA,NA,NA,NA,look at the tima.
XS_0814,brush,14,43,883,NA,NA,NA,1,NA,NA,NA,NA,and here's a brush a giant brush.
XS_0814,brush,14,44,884,NA,NA,NA,1,NA,NA,NA,NA,
XS_0815,ball,0,22.9,22.9,NA,NA,NA,NA,NA,NA,NA,NA,throw the ball.
XS_0815,ball,0,25.1,25.1,NA,NA,NA,NA,NA,NA,NA,NA,throw the ball.
XS_0815,ball,0,40.5,40.5,NA,NA,NA,NA,NA,NA,NA,NA,can I have the ball?
XS_0815,ball,1,29.9,89.9,NA,NA,NA,NA,NA,NA,NA,NA,throw the ball.
XS_0815,ball,1,32.2,92.2,NA,NA,NA,NA,NA,NA,NA,NA,throw the ball.
XS_0815,ball,3,0.9,180.9,NA,NA,NA,NA,NA,NA,NA,NA,put the ball back.
XS_0815,ball,3,4.1,184.1,NA,NA,NA,NA,NA,NA,NA,NA,put the ball in here.
XS_0815,zem,3,10,190,NA,NA,NA,NA,NA,NA,NA,NA,put zem in here.
XS_0815,zem,3,21.5,201.5,1,NA,NA,NA,NA,NA,NA,NA,byebye zem.
XS_0815,car,8,0.2,480.2,NA,NA,NA,NA,NA,NA,NA,NA,put the car in the box.
XS_0815,car,8,3,483,NA,NA,NA,NA,NA,NA,NA,NA,put the car in the box.
XS_0815,manu,8,6.7,486.7,NA,NA,NA,NA,NA,NA,NA,NA,put manu in the box.
XS_0815,brush,8,13.9,493.9,NA,NA,1,NA,NA,NA,NA,NA,a brush.
XS_0815,tima,8,19.1,499.1,NA,NA,NA,1,NA,NA,NA,NA,tima.
XS_0815,brush,9,25.1,565.1,NA,NA,NA,NA,NA,NA,NA,NA,can I have the brush?
XS_0815,brush,9,27.7,567.7,NA,NA,1,NA,NA,NA,NA,NA,can I have the brush?
XS_0815,brush,13,0.9,780.9,NA,NA,NA,NA,NA,NA,NA,NA,get the brush too.
XS_0815,ball,14,43.7,883.7,NA,NA,NA,NA,NA,NA,NA,NA,do you want to go back to the ball and zem?
XS_0815,zem,14,44.9,884.9,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0815,tima,14,50.3,890.3,NA,NA,NA,NA,NA,NA,NA,NA,byebye tima.
XS_0815,brush,14,52.3,892.3,NA,NA,NA,NA,NA,NA,NA,NA,byebye brush.
XS_0815,ball,14,56.2,896.2,NA,NA,NA,NA,NA,1,NA,NA,ball.
XS_0815,zem,14,57.6,897.6,1,NA,NA,NA,NA,NA,NA,NA,zem.
XS_0815,ball,15,38.3,938.3,NA,NA,NA,NA,NA,NA,NA,NA,I got the ball.
XS_0815,zem,18,35.4,1115.4,1,NA,NA,NA,NA,1,NA,NA,go get zem.
XS_0815,ball,18,39.3,1119.3,NA,NA,NA,NA,NA,NA,NA,NA,go get the ball.
XS_0819,ball,0,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,ball.
XS_0819,ball,0,3.8,3.8,NA,NA,NA,NA,NA,NA,NA,NA,ball.
XS_0819,ball,0,7.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,ball.
XS_0819,ball,0,24.3,24.3,NA,NA,NA,NA,NA,NA,NA,NA,ball.
XS_0819,zem,0,35.3,35.3,1,NA,NA,NA,NA,NA,NA,NA,zem.
XS_0819,brush,2,15.4,135.4,NA,NA,1,1,NA,NA,NA,NA,do you like the brush too?
XS_0819,brush,2,16.6,136.6,NA,NA,1,NA,NA,NA,NA,NA,brush brush brush.
XS_0819,brush,2,17,137,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0819,brush,2,17.3,137.3,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0819,brush,2,19,139,NA,NA,NA,1,NA,NA,NA,NA,brush brush brush brush.
XS_0819,brush,2,19.4,139.4,NA,NA,NA,1,NA,NA,NA,NA,
XS_0819,brush,2,19.8,139.8,NA,NA,NA,1,NA,NA,NA,NA,
XS_0819,brush,2,20.2,140.2,NA,NA,NA,1,NA,NA,NA,NA,
XS_0819,brush,2,26.8,146.8,NA,NA,1,1,NA,NA,NA,NA,brush brush brush.
XS_0819,brush,2,27.4,147.4,NA,NA,1,NA,NA,NA,NA,NA,
XS_0819,brush,2,27.8,147.8,NA,NA,1,NA,NA,NA,NA,NA,
XS_0819,brush,2,28.1,148.1,NA,NA,1,NA,NA,NA,NA,NA,brush brush.
XS_0819,brush,2,28.7,148.7,NA,NA,1,NA,NA,NA,NA,NA,
XS_0819,tima,3,30.1,210.1,NA,NA,NA,NA,NA,1,NA,NA,look at the tima.
XS_0819,car,3,53,233,NA,NA,NA,NA,NA,NA,NA,1,car.
XS_0819,car,3,54.6,234.6,NA,NA,NA,NA,NA,NA,NA,1,do you want to zoom car?
XS_0819,car,4,33,273,NA,NA,NA,NA,NA,NA,NA,1,car vroom.
XS_0819,ball,7,48.2,468.2,NA,NA,NA,NA,NA,1,NA,NA,ball.
XS_0819,car,9,26.2,566.2,NA,NA,NA,NA,NA,NA,NA,1,brush car?
XS_0819,car,9,32,572,NA,NA,1,NA,NA,NA,NA,1,brush car?
XS_0819,car,9,39.1,579.1,NA,NA,NA,NA,NA,NA,NA,NA,car.
XS_0819,manu,10,29.5,629.5,NA,NA,NA,NA,NA,NA,1,NA,manu.
XS_0819,tima,10,48.5,648.5,NA,NA,NA,1,NA,NA,NA,NA,tima.
XS_0819,car,12,16.5,736.5,NA,NA,NA,NA,NA,NA,NA,NA,you like the car.
XS_0819,car,14,39.6,879.6,NA,NA,NA,NA,NA,NA,1,NA,we like the car huh?
XS_0819,brush,14,50.4,890.4,NA,NA,1,NA,NA,NA,NA,NA,brush.
XS_0819,brush,14,52.6,892.6,NA,NA,1,NA,NA,NA,NA,NA,brush.
XS_0819,brush,15,4.1,904.1,NA,NA,NA,NA,NA,NA,NA,NA,mhm brushing.
XS_0819,brush,15,10.1,910.1,NA,NA,NA,NA,NA,NA,1,NA,brush.
XS_0819,brush,15,16.4,916.4,NA,NA,NA,NA,NA,NA,NA,NA,brush.
XS_0821,ball,0,5.6,5.6,NA,NA,NA,NA,NA,1,NA,NA,look at the ball.
XS_0821,car,0,53.8,53.8,NA,NA,NA,NA,NA,NA,NA,1,ooh car.
XS_0821,car,1,19.4,79.4,NA,NA,NA,NA,NA,NA,NA,1,it's a happy car.
XS_0821,car,1,26,86,NA,NA,NA,NA,NA,NA,NA,NA,[xxx] car.
XS_0821,zem,2,17.5,137.5,1,NA,NA,NA,NA,NA,NA,NA,it's a zem.
XS_0821,zem,2,30.3,150.3,1,NA,NA,NA,NA,NA,NA,NA,zem.
XS_0821,zem,2,56.8,176.8,1,NA,NA,NA,NA,NA,NA,NA,zem.
XS_0821,manu,3,10.4,190.4,NA,NA,NA,NA,NA,NA,1,NA,it's manu.
XS_0821,manu,3,14,194,NA,NA,NA,NA,NA,NA,1,NA,[xxx] what do you think of the manu?
XS_0821,manu,3,28.7,208.7,NA,NA,NA,NA,NA,NA,1,NA,do you like the manu?
XS_0821,brush,4,13.1,253.1,NA,NA,1,NA,NA,NA,NA,NA,brush.
XS_0821,brush,4,16.7,256.7,NA,NA,1,NA,NA,NA,NA,NA,brush.
XS_0821,brush,4,36.4,276.4,NA,NA,1,NA,NA,NA,NA,NA,the brush.
XS_0821,tima,5,26.7,326.7,NA,NA,NA,1,NA,NA,NA,NA,this is a tima.
XS_0821,tima,5,28,328,NA,NA,NA,1,NA,NA,NA,NA,do you like the tima?
XS_0821,tima,5,33.8,333.8,NA,NA,NA,1,NA,NA,NA,NA,tima's good.
XS_0821,tima,5,43,343,NA,NA,NA,1,NA,NA,NA,NA,let's look at the tima.
XS_0821,zem,6,18.7,378.7,NA,NA,NA,NA,NA,NA,NA,NA,oh my you like zem hey?
XS_0821,zem,6,24.2,384.2,1,NA,NA,NA,NA,NA,NA,NA,you like zem?
XS_0821,ball,6,45.5,405.5,NA,NA,NA,NA,NA,NA,NA,NA,what would you choose the ball?
XS_0821,ball,7,3.6,423.6,1,NA,NA,1,NA,1,NA,NA,ball.
XS_0821,tima,7,21.9,441.9,NA,NA,NA,NA,NA,NA,NA,1,tima.
XS_0821,ball,8,19.1,499.1,1,NA,NA,NA,NA,1,NA,NA,you like the ball.
XS_0821,ball,9,18.8,558.8,NA,NA,1,NA,NA,NA,NA,NA,it keeps getting away from you that ball isn't it?
XS_0821,brush,10,7.3,607.3,NA,NA,NA,NA,NA,NA,1,NA,the brush.
XS_0821,manu,10,41,641,NA,NA,NA,1,NA,NA,NA,NA,and you got a manu.
XS_0821,tima,11,22.7,682.7,NA,NA,NA,NA,NA,NA,NA,NA,can you try the tima?
XS_0821,tima,11,24.2,684.2,NA,NA,NA,NA,NA,NA,NA,NA,try tima again.
XS_0821,manu,12,18,738,1,NA,NA,NA,NA,NA,NA,NA,can you turn the manu.
XS_0821,manu,12,56.9,776.9,1,NA,NA,NA,NA,NA,NA,NA,that manu sooky.
XS_0821,zem,13,24,804,NA,NA,NA,1,NA,NA,NA,NA,and then zem tickled your toes and tickle your nose.
XS_0821,tima,14,7.9,847.9,NA,NA,NA,1,NA,NA,NA,NA,ah back to the tima.
XS_0821,tima,15,49.2,949.2,NA,NA,NA,NA,NA,NA,NA,NA,tima.
XS_0822,brush,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,do you have a brush?
XS_0822,brush,0,7.7,7.7,NA,NA,NA,NA,NA,NA,NA,NA,is that a brush?
XS_0822,brush,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,is it the kind of brush for your head?
XS_0822,brush,0,13.9,13.9,NA,NA,NA,NA,NA,NA,NA,NA,or is it the kind of brush for the dishes?
XS_0822,zem,0,25,25,1,NA,NA,NA,NA,NA,NA,NA,this one is a zem.
XS_0822,zem,0,26.7,26.7,1,NA,NA,NA,NA,NA,NA,NA,zem.
XS_0822,zem,0,35.3,35.3,1,NA,NA,NA,NA,NA,NA,NA,can you get the zem?
XS_0822,brush,1,7.7,67.7,NA,NA,NA,NA,NA,NA,NA,NA,is the brush prickly?
XS_0822,brush,1,11.1,71.1,NA,NA,NA,NA,NA,NA,NA,NA,prickly brush.
XS_0822,brush,1,27.3,87.3,NA,NA,1,NA,NA,NA,NA,NA,how about I take this brush and do ball.
XS_0822,ball,1,30.5,90.5,NA,NA,1,NA,NA,NA,NA,NA,
XS_0822,brush,1,48,108,NA,NA,NA,NA,NA,NA,NA,NA,you like the brush.
XS_0822,tima,1,59.5,119.5,NA,NA,NA,1,NA,NA,NA,NA,this is a tima.
XS_0822,tima,3,4.1,184.1,NA,NA,NA,NA,NA,NA,NA,NA,tima.
XS_0822,tima,3,6.5,186.5,NA,NA,NA,NA,NA,NA,NA,NA,tima and the brush.
XS_0822,brush,3,7,187,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0822,brush,4,16.9,256.9,NA,NA,NA,1,NA,NA,NA,NA,you don't want to give up the brush.
XS_0822,car,4,19.4,259.4,NA,NA,NA,NA,NA,NA,NA,NA,how about the car?
XS_0822,brush,4,37.1,277.1,NA,NA,1,NA,NA,NA,NA,NA,oh you want the brush back.
XS_0822,car,5,3,303,NA,NA,NA,NA,NA,NA,NA,NA,it's a car.
XS_0822,car,5,14,314,NA,NA,NA,NA,NA,NA,NA,NA,there goes the car.
XS_0822,zem,5,21.6,321.6,NA,NA,NA,NA,NA,NA,NA,NA,yeah there's that zem again huh?
XS_0822,zem,5,23.4,323.4,NA,NA,NA,NA,NA,NA,NA,NA,do you like that zem?
XS_0822,zem,5,25.6,325.6,NA,NA,NA,NA,NA,NA,NA,NA,zem.
XS_0822,manu,5,44.1,344.1,NA,NA,NA,NA,NA,NA,NA,NA,it's a manu.
XS_0822,manu,5,46,346,NA,NA,NA,NA,NA,NA,NA,NA,a manu.
XS_0822,manu,5,51,351,NA,NA,NA,NA,NA,NA,1,NA,I like manus don't you?
XS_0822,manu,5,57.9,357.9,NA,NA,NA,NA,NA,NA,NA,NA,a manu.
XS_0822,manu,6,2.3,362.3,NA,NA,NA,NA,NA,NA,NA,NA,manu.
XS_0822,manu,6,9.1,369.1,NA,NA,NA,NA,NA,NA,NA,NA,it's a manu.
XS_0822,manu,6,52.5,412.5,NA,NA,NA,NA,NA,NA,NA,NA,do you like the manu?
XS_0822,manu,7,16,436,NA,NA,NA,NA,NA,NA,NA,NA,see the manu is white and blue.
XS_0822,tima,8,9,489,NA,NA,NA,NA,NA,NA,NA,NA,grab that tima now.
XS_0822,tima,8,13.7,493.7,NA,NA,NA,NA,NA,NA,NA,NA,you haven't tasted the tima?
XS_0822,manu,8,21.1,501.1,NA,NA,NA,NA,NA,NA,NA,NA,manu back in there.
XS_0822,tima,8,22.8,502.8,NA,NA,NA,NA,NA,NA,NA,NA,you got the tima.
XS_0822,ball,8,44.1,524.1,NA,NA,NA,NA,NA,1,NA,NA,how about this ball?
XS_0822,ball,8,45.8,525.8,NA,NA,NA,NA,NA,1,NA,NA,would you like the ball?
XS_0822,ball,8,48.3,528.3,NA,NA,NA,NA,NA,NA,NA,NA,get the ball.
XS_0822,ball,8,53.7,533.7,NA,NA,NA,NA,NA,1,NA,NA,go get that ball.
XS_0822,ball,8,55,535,NA,NA,NA,NA,NA,1,NA,NA,go get that ball.
XS_0822,ball,8,59.2,539.2,NA,NA,NA,NA,NA,NA,NA,NA,Grayden go get the ball.
XS_0822,ball,9,2,542,NA,NA,NA,NA,NA,1,NA,NA,purple ball.
XS_0822,ball,10,3,603,NA,NA,NA,NA,NA,NA,NA,NA,can you bring the ball back?
XS_0822,ball,10,4.5,604.5,NA,NA,NA,NA,NA,NA,NA,NA,can you get the ball and bring it to mommy?
XS_0822,brush,10,35.6,635.6,NA,NA,NA,NA,NA,1,NA,NA,you know daddy would want you to use that brush as a hockey stick.
XS_0822,ball,10,39.4,639.4,NA,NA,NA,NA,NA,NA,NA,NA,you can hit the ball with the brush.
XS_0822,brush,10,40.7,640.7,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0822,tima,11,21.2,681.2,NA,NA,NA,1,NA,NA,NA,NA,all right let's grab let's grab this tima again.
XS_0822,tima,12,11.6,731.6,NA,NA,NA,NA,NA,NA,NA,NA,all right this tima is orange and white and makes sound.
XS_0822,brush,12,19,739,NA,NA,NA,NA,NA,NA,NA,NA,and this one is a brush.
XS_0822,brush,12,21,741,NA,NA,NA,1,NA,NA,NA,NA,[xxx] you like that brush.
XS_0822,brush,13,1.4,781.4,NA,NA,NA,NA,NA,NA,NA,NA,it can be used can you use the brush and this at the same time?
XS_0822,manu,13,42,822,NA,NA,NA,NA,NA,NA,NA,NA,there you go you got that manu.
XS_0822,manu,14,4.8,844.8,NA,NA,NA,1,NA,NA,NA,NA,you put the manu in the tima spot though.
XS_0822,tima,14,5.6,845.6,NA,NA,NA,1,NA,NA,NA,NA,
XS_0822,tima,14,11.5,851.5,NA,NA,NA,1,NA,NA,NA,NA,put that tima back.
XS_0822,ball,15,3.5,903.5,NA,NA,NA,NA,NA,NA,NA,NA,where'd the ball go?
XS_0822,ball,15,5.3,905.3,NA,NA,NA,NA,NA,NA,NA,NA,Grayden where's the ball?
XS_0822,tima,15,6.7,906.7,NA,NA,NA,NA,NA,NA,NA,NA,that's the tima.
XS_0822,ball,15,8,908,NA,NA,NA,NA,NA,1,NA,NA,where'd the ball go?
XS_0822,ball,15,9.7,909.7,NA,NA,NA,NA,NA,1,NA,NA,your purple ball.
XS_0822,ball,15,14,914,NA,NA,NA,NA,NA,1,NA,NA,can you go get that purple ball?
XS_0822,ball,15,15.7,915.7,NA,NA,NA,NA,NA,1,NA,NA,Grayden go get the purple ball.
XS_0822,ball,15,20.3,920.3,NA,NA,NA,NA,NA,NA,NA,NA,go get the ball.
XS_0825,ball,0,4.4,4.4,NA,NA,NA,NA,NA,1,NA,NA,here's a ball.
XS_0825,ball,0,6.4,6.4,NA,NA,NA,NA,NA,1,NA,NA,see the ball.
XS_0825,ball,0,8.9,8.9,NA,NA,NA,NA,NA,1,NA,NA,lift the ball.
XS_0825,ball,0,18.1,18.1,NA,NA,NA,NA,NA,1,NA,NA,do you like that ball?
XS_0825,ball,0,29.3,29.3,NA,NA,NA,NA,NA,1,NA,NA,get the ball.
XS_0825,ball,0,41.1,41.1,NA,NA,NA,NA,NA,1,NA,NA,is that a good ball?
XS_0825,ball,0,59.7,59.7,NA,NA,NA,NA,NA,1,NA,NA,can you roll the ball?
XS_0825,ball,1,11.9,71.9,NA,NA,NA,NA,NA,1,NA,NA,oh where's the ball?
XS_0825,ball,1,12.7,72.7,NA,NA,NA,NA,NA,1,NA,NA,where's the ball?
XS_0825,ball,1,16.6,76.6,NA,NA,NA,NA,NA,1,NA,NA,mommy gets the ball for Daphne.
XS_0825,ball,1,18.7,78.7,NA,NA,NA,NA,NA,1,NA,NA,here's the ball.
XS_0825,ball,1,29.4,89.4,NA,NA,NA,NA,NA,1,NA,NA,that's a ball.
XS_0825,zem,1,31.3,91.3,1,NA,NA,NA,NA,1,NA,NA,look at the zem ooh.
XS_0825,zem,1,38.2,98.2,1,NA,NA,NA,NA,1,NA,NA,[xxx] go the zem.
XS_0825,ball,1,42.1,102.1,NA,NA,NA,NA,NA,1,NA,NA,oh you like the ball better?
XS_0825,ball,1,56.8,116.8,NA,NA,NA,NA,NA,NA,NA,NA,are you trying to lick the ball?
XS_0825,ball,2,12.8,132.8,NA,NA,NA,NA,NA,NA,NA,NA,how's that ball feel pretty good?
XS_0825,ball,2,19.9,139.9,1,NA,NA,NA,NA,NA,NA,NA,that ball's purple.
XS_0825,ball,2,30.7,150.7,1,NA,NA,NA,NA,NA,NA,NA,ah ball.
XS_0825,zem,2,33.6,153.6,1,NA,NA,NA,NA,NA,NA,NA,mommy's going to play with the zem.
XS_0825,zem,2,36,156,1,NA,NA,NA,NA,NA,NA,NA,I like a zem.
XS_0825,zem,2,38.7,158.7,1,NA,NA,NA,NA,NA,NA,NA,I like the zem.
XS_0825,zem,2,43,163,1,NA,NA,NA,NA,NA,NA,NA,ooh I love the zem.
XS_0825,zem,2,45.8,165.8,1,NA,NA,NA,NA,NA,NA,NA,mommy likes a zem.
XS_0825,zem,2,48.3,168.3,1,NA,NA,NA,NA,NA,NA,NA,put the zem on the ball.
XS_0825,ball,2,49.1,169.1,1,NA,NA,NA,NA,NA,NA,NA,
XS_0825,zem,2,49.8,169.8,1,NA,NA,NA,NA,NA,NA,NA,put the zem on the ball.
XS_0825,ball,2,50.6,170.6,NA,NA,NA,NA,NA,1,NA,NA,
XS_0825,zem,2,53.3,173.3,NA,NA,NA,NA,NA,1,NA,NA,oh okay throw the zem.
XS_0825,ball,2,54.4,174.4,NA,NA,NA,NA,NA,1,NA,NA,okay get the ball.
XS_0825,zem,2,57.4,177.4,NA,NA,NA,NA,NA,NA,NA,NA,right you don't like the zem.
XS_0825,ball,2,58.8,178.8,NA,NA,NA,NA,NA,NA,NA,NA,but you do like the ball.
XS_0825,ball,3,33.6,213.6,NA,NA,NA,NA,NA,NA,NA,NA,can you share the ball with mommy?
XS_0825,ball,3,36.6,216.6,NA,NA,NA,NA,NA,NA,NA,NA,now you like the ball.
XS_0825,ball,3,49.5,229.5,NA,NA,NA,NA,NA,NA,NA,NA,[xxx] the ball.
XS_0825,ball,3,51.5,231.5,1,NA,NA,NA,NA,NA,NA,NA,Daphne has the ball.
XS_0825,zem,3,55.2,235.2,1,NA,NA,NA,NA,NA,NA,NA,yeah get the zem.
XS_0825,ball,3,57.9,237.9,NA,NA,NA,NA,NA,NA,NA,NA,back to the ball.
XS_0825,ball,3,59.1,239.1,NA,NA,NA,NA,NA,NA,NA,NA,ooh tasty ball.
XS_0825,ball,4,2.7,242.7,NA,NA,NA,NA,NA,NA,NA,NA,how does the ball taste?
XS_0825,tima,4,24.2,264.2,NA,NA,NA,1,NA,NA,NA,NA,mommy's going to play with the tima.
XS_0825,tima,4,36.6,276.6,NA,NA,NA,1,NA,NA,NA,NA,mommy likes the tima better.
XS_0825,tima,4,40,280,NA,NA,NA,1,NA,NA,NA,NA,does Daphne want to play with the tima too?
XS_0825,ball,4,42,282,NA,NA,NA,1,NA,NA,NA,NA,or does Daphne like the ball better?
XS_0825,ball,5,0.4,300.4,NA,NA,NA,1,NA,NA,NA,NA,you're really into that ball.
XS_0825,ball,5,5.9,305.9,NA,NA,NA,1,NA,NA,NA,NA,it's because we don't have balls at home.
XS_0825,tima,5,21,321,NA,NA,NA,1,NA,1,NA,NA,where's the tima?
XS_0825,ball,5,22.4,322.4,NA,NA,NA,1,NA,1,NA,NA,mommy will play with the ball.
XS_0825,tima,5,25.8,325.8,NA,NA,NA,1,NA,NA,NA,NA,do you like that tima?
XS_0825,tima,5,29.6,329.6,1,NA,NA,1,NA,NA,NA,NA,the tima is orange.
XS_0825,tima,5,33.5,333.5,NA,NA,NA,1,NA,NA,NA,NA,where's the tima?
XS_0825,tima,5,59,359,NA,NA,NA,1,NA,1,NA,NA,like that tima.
XS_0825,tima,6,16.5,376.5,NA,NA,NA,1,NA,1,NA,NA,shake the tima.
XS_0825,tima,7,6,426,NA,NA,NA,NA,NA,1,NA,NA,is that the tima?
XS_0825,tima,7,29,449,NA,NA,NA,NA,NA,NA,NA,NA,what color is the tima?
XS_0825,tima,8,19,499,NA,NA,NA,1,NA,1,NA,NA,that tima's pretty fun.
XS_0825,tima,9,16.9,556.9,NA,NA,NA,NA,NA,NA,NA,NA,tima.
XS_0825,zem,9,36,576,1,NA,NA,NA,NA,1,NA,NA,oh can you get the zem with the tima?
XS_0825,tima,9,36,576,1,NA,NA,NA,NA,1,NA,NA,
XS_0825,tima,9,40.6,580.6,NA,NA,NA,NA,NA,1,NA,NA,no you can just stick with the tima that's good.
XS_0825,tima,10,19.4,619.4,NA,NA,NA,NA,NA,1,NA,NA,mommy's gonna get the tima.
XS_0825,tima,10,28.8,628.8,NA,NA,NA,1,NA,NA,NA,NA,oh get the tima.
XS_0825,tima,10,50.9,650.9,NA,NA,NA,1,NA,NA,NA,NA,tima tima tima.
XS_0825,tima,10,51.5,651.5,NA,NA,NA,1,NA,NA,NA,NA,
XS_0825,tima,10,52.1,652.1,NA,NA,NA,1,NA,NA,NA,NA,
XS_0825,tima,11,7.6,667.6,NA,NA,NA,NA,NA,1,NA,NA,where's the tima?
XS_0825,ball,11,34.9,694.9,NA,NA,NA,1,NA,1,NA,NA,want a ball or a tima?
XS_0825,tima,11,35.5,695.5,NA,NA,NA,1,NA,1,NA,NA,
XS_0825,ball,11,38.3,698.3,NA,NA,NA,NA,NA,NA,NA,NA,oh you like the ball better.
XS_0825,ball,11,43.7,703.7,NA,NA,NA,NA,NA,1,NA,NA,how's that ball taste?
XS_0825,tima,11,55.6,715.6,NA,NA,NA,NA,NA,1,NA,NA,that tima makes a fun noise.
XS_0825,ball,11,56.8,716.8,NA,NA,NA,NA,NA,1,NA,NA,ball doesn't make any noise.
XS_0825,ball,12,11.6,731.6,NA,NA,NA,NA,NA,NA,NA,NA,that ball has a little hole.
XS_0825,ball,12,45.2,765.2,NA,NA,NA,NA,NA,1,NA,NA,good job you kicked the ball.
XS_0825,ball,12,54,774,NA,NA,NA,NA,NA,1,NA,NA,the balls' stuck.
XS_0825,ball,13,13.9,793.9,NA,NA,NA,NA,NA,1,NA,NA,what's the ball doing?
XS_0825,ball,13,14.7,794.7,NA,NA,NA,NA,NA,1,NA,NA,the ball's rolling.
XS_0825,ball,13,16.7,796.7,NA,NA,NA,NA,NA,1,NA,NA,the ball's rolling.
XS_0825,ball,13,19.8,799.8,NA,NA,NA,NA,NA,1,NA,NA,come back ball.
XS_0825,tima,13,34.1,814.1,NA,NA,NA,1,NA,NA,NA,NA,got that tima?
XS_0825,zem,14,1,841,1,NA,NA,NA,NA,NA,NA,NA,what's the zem doing?
XS_0825,zem,14,4.5,844.5,1,NA,NA,NA,NA,NA,NA,NA,I'm a zem.
XS_0825,zem,14,5.2,845.2,1,NA,NA,NA,NA,NA,NA,NA,a zem a zem a zem.
XS_0825,zem,14,5.6,845.6,1,NA,NA,NA,NA,NA,NA,NA,
XS_0825,zem,14,6,846,1,NA,NA,NA,NA,NA,NA,NA,
XS_0825,zem,14,7.5,847.5,1,NA,NA,NA,NA,NA,NA,NA,I'm a yellow zem.
XS_0825,zem,14,10.9,850.9,1,NA,NA,NA,NA,NA,NA,NA,I'm a yellow zem.
XS_0825,ball,14,26.3,866.3,NA,NA,NA,NA,NA,1,NA,NA,go back to the ball.
XS_0825,ball,14,28.3,868.3,NA,NA,NA,NA,NA,1,NA,NA,get the ball.
XS_0825,ball,14,29.9,869.9,NA,NA,NA,NA,NA,1,NA,NA,yay grab the ball.
XS_0825,ball,14,43,883,NA,NA,NA,NA,NA,1,NA,NA,kick the ball.
XS_0825,ball,15,0,900,NA,NA,NA,NA,NA,NA,NA,NA,here's the ball.
XS_0825,ball,15,2.1,902.1,NA,NA,NA,NA,NA,NA,NA,NA,where's the ball?
XS_0826,ball,0,29.2,29.2,NA,NA,NA,NA,NA,NA,NA,NA,those look like a ball.
XS_0826,ball,0,36,36,NA,NA,NA,NA,NA,NA,NA,NA,I have a ball.
XS_0826,ball,0,53.5,53.5,NA,NA,NA,NA,NA,NA,NA,NA,you want to throw the ball back?
XS_0826,ball,1,19.5,79.5,NA,NA,NA,NA,NA,NA,NA,NA,oh yummy ball huh?
XS_0826,ball,2,59,179,NA,NA,NA,NA,NA,NA,NA,NA,it's a ball.
XS_0826,car,4,25,265,NA,NA,NA,NA,NA,NA,NA,1,oh you like cars.
XS_0826,car,4,28.5,268.5,NA,NA,NA,NA,NA,1,NA,1,you always want brother's cars.
XS_0826,car,4,30.1,270.1,NA,NA,NA,NA,NA,1,NA,1,there's a car.
XS_0826,car,4,32.9,272.9,NA,NA,NA,NA,NA,NA,NA,1,oh that's a loud car.
XS_0826,car,4,55.1,295.1,NA,NA,NA,NA,NA,1,NA,1,the car ran into the ball.
XS_0826,ball,4,55.8,295.8,NA,NA,NA,NA,NA,1,NA,1,
